model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.48496221520056815,0.6069103340437136,0.1186556217976763,32,True,0.042571891434486434
dinov2_vitb14,multi_axes_average,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.5069540817493321,0.5847187452315147,0.17152901108516494,32,True,0.02038992097142812
dinov2_vitb14,multi_axes_average,none,svm_linear,"{'C': 0.001, 'class_weight': None, 'loss': 'hinge'}",0.4747238955823293,,,32,True,
dinov2_vitb14,multi_axes_max,none,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5263574008943079,0.5302846422122666,0.17131750783871924,32,True,0.018178724695335904
dinov2_vitb14,multi_axes_max,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.48033993773258166,0.5299365074795619,0.4700634925204381,32,True,0.0309776693771991
dinov2_vitb14,multi_axes_max,none,svm_linear,"{'C': 0.001, 'class_weight': None, 'loss': 'hinge'}",0.46175320548248033,,,32,True,
dinov2_vitb14,multi_axes_add,none,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5218840801357915,0.5834958974642819,0.16019903220037257,32,True,0.028172130407645282
dinov2_vitb14,multi_axes_add,none,knn,"{'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}",0.5276711559937949,0.5834530230420146,0.41654697695798537,32,True,0.04164411339112615
dinov2_vitb14,multi_axes_add,none,svm_linear,"{'C': 0.001, 'class_weight': None, 'loss': 'hinge'}",0.5308543808260565,,,32,True,
dinov2_vitb14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5635102832240064,0.6215448647613907,0.12124986461290066,32,True,0.039754911445925536
dinov2_vitb14,single_axis_axial,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.5251090450063461,0.5427908179287406,0.4572091820712594,32,True,0.047590613288414296
dinov2_vitb14,single_axis_axial,none,svm_linear,"{'C': 0.001, 'class_weight': None, 'loss': 'hinge'}",0.4933860441767069,,,32,True,
dinov2_vitb14,single_axis_coronal,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5562920040649787,0.5851528387296696,0.10196541958083749,32,True,0.027670805701375506
dinov2_vitb14,single_axis_coronal,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.5001217877679653,0.5277678443612965,0.1834099058260048,32,True,0.05363322060026563
