model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability
dinov2_vitg14,multi_axes_add,none,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.6292969290956932,0.5973939556280919,0.28839357603457605,256,True,0.06447987666668305
dinov2_vitg14,multi_axes_add,256,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.6292969290956932,0.5973939556280919,0.28839357603457605,256,True,0.06447987666668305
dinov2_vits14,single_axis_coronal,none,logistic,"{'C': 1, 'l1_ratio': 0.2}",0.6232912947265177,0.577580061739541,0.23464247560081652,384,True,0.04162355776848365
dinov2_vitg14,single_axis_axial,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6186768169641552,0.5809660650263654,0.12354020406710975,32,True,0.043467231202828346
dinov2_vitg14,single_axis_axial,32,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6186768169641552,0.5809660650263654,0.12354020406710975,32,True,0.043467231202828346
dinov2_vitl14,multi_axes_max,none,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.6164299002399984,0.5882205520316093,0.39205279802390525,256,True,0.037141515805850824
dinov2_vitl14,multi_axes_max,256,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.6164299002399984,0.5882205520316093,0.39205279802390525,256,True,0.037141515805850824
dinov2_vitl14,single_axis_axial,none,logistic,"{'C': 1, 'l1_ratio': 0.5}",0.6121852523983946,0.5787839655107611,0.2813135569862979,1024,True,0.019906982344915888
dinov2_vitg14,single_axis_axial,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6098770775128354,0.5920166043642697,0.16541442635952996,61,True,0.042923850121539105
dinov2_vitg14,single_axis_axial,95,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6098770775128354,0.5920166043642697,0.16541442635952996,61,True,0.042923850121539105
