model,variant,config,aggregation_method,method_25d,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
dinov2_vitg14,concat_baseline,concat_baseline,concat,baseline,32,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5151551813867301,0.5508312273786963,0.17671648095050407,32,False,0.04215723034066757,method_25d_cls
dinov2_vitg14,concat_baseline,concat_baseline,concat,baseline,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6013038193584207,0.6099692320632559,0.38789428724426134,256,False,0.02876996133323234,method_25d_cls
dinov2_vitg14,concat_baseline,concat_baseline,concat,baseline,99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6015873145381272,0.6104929252864868,0.3895070747135132,433,False,0.028996165810174345,method_25d_cls
dinov2_vitg14,concat_25d_no_overlap,concat_25d_no_overlap,concat,25d_no_overlap,32,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5764184764207098,0.587224674045002,0.15581070402561426,32,False,0.03938045834905183,method_25d_cls
dinov2_vitg14,concat_25d_no_overlap,concat_25d_no_overlap,concat,25d_no_overlap,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.586334804577373,0.5980333988387514,0.3894822882935933,256,False,0.034569778736422654,method_25d_cls
dinov2_vitg14,concat_25d_no_overlap,concat_25d_no_overlap,concat,25d_no_overlap,99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5925813543639918,0.5877495012339994,0.4117464232545137,429,False,0.036910756223519144,method_25d_cls
dinov2_vitg14,concat_25d_overlap,concat_25d_overlap,concat,25d_overlap,32,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.6007490973066577,0.5852491260430273,0.1549199235506582,32,False,0.02395570272537227,method_25d_cls
dinov2_vitg14,concat_25d_overlap,concat_25d_overlap,concat,25d_overlap,256,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.605525149474837,0.6121965756742783,0.2916970739235024,256,False,0.04681147335980238,method_25d_cls
dinov2_vitg14,concat_25d_overlap,concat_25d_overlap,concat,25d_overlap,99,logistic,"{'C': 0.01, 'l1_ratio': 0.6}",0.5814233404672153,0.6109783241798461,0.26347959731115167,441,False,0.04468266037830319,method_25d_cls
dinov2_vitg14,pooling_baseline,pooling_baseline,pooling,baseline,32,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5596261985620431,0.5989148068289772,0.13666937480446528,32,False,0.03409401814944767,method_25d_cls
dinov2_vitg14,pooling_baseline,pooling_baseline,pooling,baseline,256,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.5250696018017023,0.596685054751441,0.08820501229201783,256,False,0.03209948075203147,method_25d_cls
dinov2_vitg14,pooling_baseline,pooling_baseline,pooling,baseline,99,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.5250696018017023,0.596685054751441,0.08820882245773853,282,False,0.03209948075203147,method_25d_cls
dinov2_vitg14,pooling_25d_no_overlap,pooling_25d_no_overlap,pooling,25d_no_overlap,32,logistic,"{'C': 10.0, 'l1_ratio': 0.0}",0.521405931778363,0.5805187970191449,0.15842968999674412,32,False,0.03773849646187405,method_25d_cls
dinov2_vitg14,pooling_25d_no_overlap,pooling_25d_no_overlap,pooling,25d_no_overlap,256,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5479573684646843,0.5760448592080752,0.33295021113488665,256,False,0.023208985172109533,method_25d_cls
dinov2_vitg14,pooling_25d_no_overlap,pooling_25d_no_overlap,pooling,25d_no_overlap,99,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5529014924773438,0.5767832138242375,0.33905251704352324,366,False,0.024059981640947362,method_25d_cls
dinov2_vitg14,pooling_25d_overlap,pooling_25d_overlap,pooling,25d_overlap,32,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.574179484467449,0.5864007433506775,0.13503951651122603,32,False,0.04193602999466782,method_25d_cls
dinov2_vitg14,pooling_25d_overlap,pooling_25d_overlap,pooling,25d_overlap,256,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5742706292585719,0.6067202484338001,0.21528078657157967,256,False,0.04439062518220223,method_25d_cls
dinov2_vitg14,pooling_25d_overlap,pooling_25d_overlap,pooling,25d_overlap,99,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5750001647685332,0.606575376830833,0.2156534657862148,344,False,0.04390762369111737,method_25d_cls
