model,preprocessing,aggregation,mode,config,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
bsf,v1_resize_nearest,gap768,raw,v1_resize_nearest_gap768_raw,logistic,"{'C': 1000.0, 'l1_ratio': 0.8}",0.5351858100703987,0.5732670219380965,0.4205232055848914,768,True,0.033059258145572736,bsf
bsf,v1_resize_nearest,flatten_stage4,PCA_32,v1_resize_nearest_flatten_stage4_PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.6842988054718081,0.6327093231687083,0.11462758045930677,32,True,0.04959358599649334,bsf
bsf,v1_resize_nearest,flatten_stage4,PCA_256,v1_resize_nearest_flatten_stage4_PCA_256,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.6655582072040138,0.6434240509629047,0.2171553336987775,256,True,0.024232813097420806,bsf
bsf,v1_resize_nearest,flatten_stage4,PCA_950,v1_resize_nearest_flatten_stage4_PCA_950,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.6653501263834204,0.6431899946208489,0.22359624385125276,389,True,0.02684310145000425,bsf
bsf,v1_resize_nearest,flatten_stage4,PCA_995,v1_resize_nearest_flatten_stage4_PCA_995,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.6621713562570434,0.6433872924324195,0.22478827553613678,452,True,0.02702519914129743,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,PCA_32,v1_resize_nearest_flatten_stage_3_4_PCA_32,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.6640655611214233,0.6291160254123761,0.12192902303186559,32,True,0.02552757749740165,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,PCA_256,v1_resize_nearest_flatten_stage_3_4_PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6735823335258148,0.608951393355037,0.3576871078552081,256,True,0.039946741659463825,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,PCA_950,v1_resize_nearest_flatten_stage_3_4_PCA_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6801695432473329,0.6178582646983045,0.3776020462625337,396,True,0.03593771125495583,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,PCA_995,v1_resize_nearest_flatten_stage_3_4_PCA_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6825222651917382,0.6124143287990356,0.3861446285439468,453,True,0.034766059712622914,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,PCA_32,v1_resize_nearest_flatten_stage_2_3_4_PCA_32,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.6858318079340456,0.6176028635575301,0.13007942212441226,32,True,0.027515523567544095,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,PCA_256,v1_resize_nearest_flatten_stage_2_3_4_PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6728752641060921,0.6135774186831904,0.37902711934447475,256,True,0.03040452568004549,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,PCA_950,v1_resize_nearest_flatten_stage_2_3_4_PCA_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6821695692132657,0.6129625755194524,0.3870353889814432,399,True,0.023041696704457795,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,PCA_995,v1_resize_nearest_flatten_stage_2_3_4_PCA_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6918286658973763,0.6050798357752332,0.39492016422476683,453,True,0.020494945910518394,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,PCA_32,v1_resize_nearest_flatten_stage_1_2_3_4_PCA_32,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.6894054726498527,0.6029731188679536,0.13518709720919553,32,True,0.028959640716825216,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,PCA_256,v1_resize_nearest_flatten_stage_1_2_3_4_PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6497220493806926,0.5658597033219328,0.43394973226263256,256,True,0.036133991640023566,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,PCA_950,v1_resize_nearest_flatten_stage_1_2_3_4_PCA_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6892887847657634,0.5992347877327869,0.40076521226721307,401,True,0.023203540101020593,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,PCA_995,v1_resize_nearest_flatten_stage_1_2_3_4_PCA_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6949046343551999,0.5980496930686539,0.40195030693134615,453,True,0.017433140181092946,bsf
