model,preprocessing,aggregation,mode,config,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
bsf,v1_resize_nearest,gap768,raw,v1_resize_nearest_gap768_raw,logistic,"{'C': 10.0, 'l1_ratio': 0.0}",0.6207729468599034,0.6273216868810504,-0.006548740021147026,768,False,0.07532355219473125,bsf
bsf,v1_resize_nearest,flatten_stage4,32,v1_resize_nearest_flatten_stage4_32,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.6014492753623188,0.6276621787025704,-0.026212903340251503,32,False,0.057684348383476323,bsf
bsf,v1_resize_nearest,flatten_stage4,256,v1_resize_nearest_flatten_stage4_256,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.6529790660225443,0.648414376321353,0.004564689701191282,256,False,0.08365966105235428,bsf
bsf,v1_resize_nearest,flatten_stage4,950,v1_resize_nearest_flatten_stage4_950,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.6690821256038647,0.6469589406921108,0.022123184911753913,283,False,0.07646711548849738,bsf
bsf,v1_resize_nearest,flatten_stage4,995,v1_resize_nearest_flatten_stage4_995,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.6690821256038647,0.645369978858351,0.023712146745513696,309,False,0.08030906889725475,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,32,v1_resize_nearest_flatten_stage_3_4_32,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6537842190016103,0.598752642706131,0.05503157629547928,32,False,0.056870536009982424,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,256,v1_resize_nearest_flatten_stage_3_4_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.679549114331723,0.6290319350172471,0.05051717931447597,256,False,0.0808115461395032,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,950,v1_resize_nearest_flatten_stage_3_4_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6642512077294687,0.6268064982752865,0.03744470945418221,286,False,0.08803947786700413,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,995,v1_resize_nearest_flatten_stage_3_4_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6626409017713365,0.6118905085122955,0.05075039325904096,310,False,0.06137248539286176,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,32,v1_resize_nearest_flatten_stage_2_3_4_32,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.607085346215781,0.5876755313230221,0.019409814892758948,32,False,0.039399845434798235,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,256,v1_resize_nearest_flatten_stage_2_3_4_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6956521739130435,0.5933926783131189,0.10225949559992453,256,False,0.06926975858065378,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,950,v1_resize_nearest_flatten_stage_2_3_4_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6811594202898551,0.5866740847891398,0.09448533550071525,287,False,0.08625889200960277,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,995,v1_resize_nearest_flatten_stage_2_3_4_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6682769726247987,0.6111805941916102,0.05709637843318849,310,False,0.0607169688022621,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,32,v1_resize_nearest_flatten_stage_1_2_3_4_32,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.6505636070853461,0.5911839323467231,0.059379674738623045,32,False,0.0338503324717283,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,256,v1_resize_nearest_flatten_stage_1_2_3_4_256,logistic,"{'C': 0.01, 'l1_ratio': 1.0}",0.7020933977455716,0.6001212863024368,0.10197211144313478,256,False,0.090819951997341,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,950,v1_resize_nearest_flatten_stage_1_2_3_4_950,logistic,"{'C': 0.01, 'l1_ratio': 1.0}",0.6972624798711755,0.5991242906420384,0.09813818922913708,288,False,0.09165763378517565,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,995,v1_resize_nearest_flatten_stage_1_2_3_4_995,logistic,"{'C': 0.01, 'l1_ratio': 1.0}",0.6972624798711755,0.5986524980527429,0.09860998181843261,310,False,0.09173009302638083,bsf
bsf,v3_upscale3_padcrop,gap768,raw,v3_upscale3_padcrop_gap768_raw,logistic,"{'C': 10.0, 'l1_ratio': 1.0}",0.5362318840579711,0.630337153666407,-0.0941052696084359,768,False,0.04948266595204679,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,32,v3_upscale3_padcrop_flatten_stage4_32,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.6731078904991948,0.6405341048180706,0.032573785681124234,32,False,0.08094434930462031,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,256,v3_upscale3_padcrop_flatten_stage4_256,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5152979066022545,0.6279826415934128,-0.11268473499115828,256,False,0.06349779447461941,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,950,v3_upscale3_padcrop_flatten_stage4_950,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5152979066022545,0.6279826415934128,-0.11268473499115828,281,False,0.06349779447461941,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,995,v3_upscale3_padcrop_flatten_stage4_995,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5152979066022545,0.6279826415934128,-0.11268473499115828,309,False,0.06349779447461941,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,32,v3_upscale3_padcrop_flatten_stage_3_4_32,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.6207729468599034,0.608591298542339,0.012181648317564409,32,False,0.0233419983806077,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,256,v3_upscale3_padcrop_flatten_stage_3_4_256,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.5136876006441223,0.6169589406921109,-0.10327134004798855,256,False,0.08649112875022928,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,950,v3_upscale3_padcrop_flatten_stage_3_4_950,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.5136876006441223,0.6169589406921109,-0.10327134004798855,285,False,0.08649112875022928,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,995,v3_upscale3_padcrop_flatten_stage_3_4_995,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.5136876006441223,0.6169589406921109,-0.10327134004798855,310,False,0.08649112875022928,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,32,v3_upscale3_padcrop_flatten_stage_2_3_4_32,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5966183574879227,0.6305029487036832,-0.033884591215760484,32,False,0.03964433881550284,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,256,v3_upscale3_padcrop_flatten_stage_2_3_4_256,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.640901771336554,0.5690642038500056,0.07183756748654846,256,False,0.0610251656051402,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,950,v3_upscale3_padcrop_flatten_stage_2_3_4_950,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.6457326892109501,0.5609302325581396,0.0848024566528105,287,False,0.0543348071992924,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,995,v3_upscale3_padcrop_flatten_stage_2_3_4_995,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.6481481481481481,0.5634850339379104,0.08466311421023776,310,False,0.08521236562759922,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,32,v3_upscale3_padcrop_flatten_stage_1_2_3_4_32,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.6320450885668277,0.592367864693446,0.039677223873381684,32,False,0.04471410979388218,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,256,v3_upscale3_padcrop_flatten_stage_1_2_3_4_256,logistic,"{'C': 0.01, 'l1_ratio': 0.8}",0.6296296296296297,0.574802492489151,0.0548271371404786,256,False,0.028336381911739202,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,950,v3_upscale3_padcrop_flatten_stage_1_2_3_4_950,logistic,"{'C': 0.01, 'l1_ratio': 0.8}",0.6296296296296297,0.5716991209524871,0.057930508677142556,288,False,0.02836100098305408,bsf
