model,preprocessing,aggregation,mode,config,regressor,test_r2,cv_r2,overfitting_gap,feature_dim,cv_stability,strategy
bsf,v1_resize_nearest,gap768,raw,v1_resize_nearest_gap768_raw,elasticnet,0.04622805737171507,0.02174292742791273,0.02448512994380234,768,0.03274639535862323,bsf
bsf,v1_resize_nearest,flatten_stage4,32,v1_resize_nearest_flatten_stage4_32,elasticnet,0.09269888448355156,0.0749457379823975,0.01775314650115406,32,0.040417855684311256,bsf
bsf,v1_resize_nearest,flatten_stage4,256,v1_resize_nearest_flatten_stage4_256,elasticnet,0.11216049360984444,0.10120473843114917,0.010955755178695284,256,0.040877010607468324,bsf
bsf,v1_resize_nearest,flatten_stage4,950,v1_resize_nearest_flatten_stage4_950,elasticnet,0.13443012017074388,0.10701279826815752,0.02741732190258636,585,0.045115149399133164,bsf
bsf,v1_resize_nearest,flatten_stage4,995,v1_resize_nearest_flatten_stage4_995,elasticnet,0.13965472800756465,0.11000101833493527,0.02965370967262938,690,0.04484382719108942,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,32,v1_resize_nearest_flatten_stage_3_4_32,elasticnet,0.11054856301164188,0.08512845771746368,0.025420105294178204,32,0.04158029872939956,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,256,v1_resize_nearest_flatten_stage_3_4_256,elasticnet,0.1496766573332113,0.11968324282297034,0.029993414510240957,256,0.04139117474446056,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,950,v1_resize_nearest_flatten_stage_3_4_950,elasticnet,0.15403419018954545,0.12079988543186769,0.03323430475767777,604,0.034536643553541045,bsf
bsf,v1_resize_nearest,flatten_stage_3_4,995,v1_resize_nearest_flatten_stage_3_4_995,elasticnet,0.17319052949726246,0.13191589077220733,0.04127463872505513,693,0.03196447293112082,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,32,v1_resize_nearest_flatten_stage_2_3_4_32,elasticnet,0.11592307563806376,0.09029423118519514,0.02562884445286862,32,0.0420671782574475,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,256,v1_resize_nearest_flatten_stage_2_3_4_256,elasticnet,0.14707973225933643,0.13593828518994522,0.011141447069391205,256,0.03808049435393949,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,950,v1_resize_nearest_flatten_stage_2_3_4_950,elasticnet,0.13765539555471887,0.11906172294807459,0.018593672606644268,613,0.03939469690811915,bsf
bsf,v1_resize_nearest,flatten_stage_2_3_4,995,v1_resize_nearest_flatten_stage_2_3_4_995,elasticnet,0.18453797016096943,0.1310952453556423,0.05344272480532713,695,0.03559530889076868,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,32,v1_resize_nearest_flatten_stage_1_2_3_4_32,elasticnet,0.12131566065665293,0.08880999680842522,0.0325056638482277,32,0.0396561580162954,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,256,v1_resize_nearest_flatten_stage_1_2_3_4_256,elasticnet,0.14483164165263526,0.12917507858018287,0.015656563072452355,256,0.03664963283981109,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,950,v1_resize_nearest_flatten_stage_1_2_3_4_950,elasticnet,0.16128020767283535,0.1324166591605248,0.02886354851231054,615,0.0344366554440221,bsf
bsf,v1_resize_nearest,flatten_stage_1_2_3_4,995,v1_resize_nearest_flatten_stage_1_2_3_4_995,elasticnet,0.19723036092382418,0.1458712762610549,0.051359084662769304,695,0.03817121283618958,bsf
bsf,v3_upscale3_padcrop,gap768,raw,v3_upscale3_padcrop_gap768_raw,elasticnet,0.060272550891955046,0.023575509466799326,0.03669704142515572,768,0.02861637971472991,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,32,v3_upscale3_padcrop_flatten_stage4_32,elasticnet,0.09594130371311065,0.053965697332156955,0.04197560638095368,32,0.030517091714295605,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,256,v3_upscale3_padcrop_flatten_stage4_256,elasticnet,0.13415590757019058,0.09200269655662911,0.042153211013561474,256,0.02937697858685147,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,950,v3_upscale3_padcrop_flatten_stage4_950,elasticnet,0.1561116882465164,0.09006845196926112,0.06604323627725527,575,0.02524451500121541,bsf
bsf,v3_upscale3_padcrop,flatten_stage4,995,v3_upscale3_padcrop_flatten_stage4_995,elasticnet,0.17231820296297987,0.0936713309615752,0.07864687200140467,688,0.028224882399030687,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,32,v3_upscale3_padcrop_flatten_stage_3_4_32,elasticnet,0.09776361166527664,0.05818596406079756,0.03957764760447908,32,0.04135974858752784,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,256,v3_upscale3_padcrop_flatten_stage_3_4_256,elasticnet,0.13871161036140855,0.11166750055050773,0.027044109810900826,256,0.029846945832166533,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,950,v3_upscale3_padcrop_flatten_stage_3_4_950,elasticnet,0.15286178047771534,0.11283862173554765,0.040023158742167685,596,0.03413730940001706,bsf
bsf,v3_upscale3_padcrop,flatten_stage_3_4,995,v3_upscale3_padcrop_flatten_stage_3_4_995,elasticnet,0.15143477239252237,0.11322972693984738,0.038205045452675,692,0.032199281845971615,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,32,v3_upscale3_padcrop_flatten_stage_2_3_4_32,elasticnet,0.10519828099444756,0.0695779324636943,0.03562034853075328,32,0.03659266836494781,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,256,v3_upscale3_padcrop_flatten_stage_2_3_4_256,elasticnet,0.14605516094832516,0.116154067095576,0.02990109385274918,256,0.0361853746128507,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,950,v3_upscale3_padcrop_flatten_stage_2_3_4_950,elasticnet,0.162651986214309,0.11534933987752806,0.04730264633678099,610,0.026730852155613494,bsf
bsf,v3_upscale3_padcrop,flatten_stage_2_3_4,995,v3_upscale3_padcrop_flatten_stage_2_3_4_995,elasticnet,0.18580637970478786,0.12986147584491733,0.05594490385987053,694,0.03193060045887903,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,32,v3_upscale3_padcrop_flatten_stage_1_2_3_4_32,elasticnet,0.12340779511976242,0.08915401649744326,0.03425377862231918,32,0.04756872035627593,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,256,v3_upscale3_padcrop_flatten_stage_1_2_3_4_256,elasticnet,0.1491568067493672,0.12425190077838333,0.0249049059709839,256,0.03797441177416539,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,950,v3_upscale3_padcrop_flatten_stage_1_2_3_4_950,elasticnet,0.17324308953991566,0.1301040201823783,0.043139069357537384,616,0.0362788630011325,bsf
bsf,v3_upscale3_padcrop,flatten_stage_1_2_3_4,995,v3_upscale3_padcrop_flatten_stage_1_2_3_4_995,elasticnet,0.19709233059870931,0.14054368942361375,0.05654864117509556,695,0.03276722799548174,bsf
