model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
dinov2_vitl14,multi_axes,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.534423545177229,0.589371053432575,0.410628946567425,92160,True,0.017765586658388257,concatenation
dinov2_vitl14,axis_Z,none,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5485114036500319,0.5668665915338288,0.4305355500089678,22528,True,0.02574544411025935,concatenation
dinov2_vitb14,multi_axes,none,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5339859199531438,0.615093683108079,0.384906316891921,69120,True,0.04547386629934426,concatenation
dinov2_vitb14,axis_Z,none,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.565074542078469,0.5426423293333892,0.2607789834805798,16896,True,0.035168911431771394,concatenation
dinov2_vitb14,axis_Y,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5199835048831835,0.614350161089002,0.385649838910998,29184,True,0.04103665261952647,concatenation
dinov2_vitb14,axis_X,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5830620568322008,0.5739110269127232,0.4260889730872768,23040,True,0.02757072795218573,concatenation
dinov2_vits14,multi_axes,none,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5579441619689769,0.5957543919974813,0.40424560800251874,34560,True,0.05720369083720815,concatenation
dinov2_vits14,axis_Z,none,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5901337356702991,0.5418749251726338,0.44257122001939075,8448,True,0.03522957198889909,concatenation
dinov2_vits14,axis_Y,none,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.5067261850311718,0.6102561831440311,0.3365747206537123,14592,True,0.03788659348912156,concatenation
dinov2_vits14,axis_X,none,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5984933982211669,0.5970938155960059,0.40290618440399406,11520,True,0.04643679245483864,concatenation
dinov2_vitl14,multi_axes,32,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5228307051362681,0.5454787014806508,0.1579376098403189,32,True,0.039782013800333124,concatenation
dinov2_vitl14,axis_Z,32,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5579177573152464,0.5768698192892465,0.16445435262656072,32,True,0.02892235235810577,concatenation
dinov2_vitl14,axis_Y,32,logistic,"{'C': 0.1, 'l1_ratio': 0.6000000000000001}",0.5090387749193547,0.5635402218808555,0.16847329935202293,32,True,0.02069203765831021,concatenation
dinov2_vitg14,multi_axes,32,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.5334699482841203,0.5430354631010178,0.1832336089275316,32,True,0.04047480705685766,concatenation
dinov2_vits14,multi_axes,32,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.5482145860410957,0.5522810712782673,0.1769266994314831,32,True,0.042412617924736655,concatenation
dinov2_vits14,axis_Z,32,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5214864698433087,0.5534655000680523,0.1690747284228442,32,True,0.04635215375367921,concatenation
dinov2_vits14,axis_Y,32,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.4875271590156895,0.5807758825519465,0.14233517876109125,32,True,0.050201178003797746,concatenation
dinov2_vits14,axis_X,32,logistic,"{'C': 0.1, 'l1_ratio': 0.30000000000000004}",0.5448796510782136,0.5056112757976643,0.19720954435448212,32,True,0.007171090063319618,concatenation
dinov2_vitb14,multi_axes,32,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5306033112996117,0.5344694395975689,0.17840903049737533,32,True,0.036766720341423524,concatenation
dinov2_vitb14,axis_Z,32,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5689559626516189,0.563317989713829,0.05186580993580847,32,True,0.047440722345747116,concatenation
dinov2_vitb14,axis_Y,32,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.5170198331287822,0.564011389924086,0.1594872858878178,32,True,0.03366271026576062,concatenation
dinov2_vitb14,axis_X,32,logistic,"{'C': 0.001, 'l1_ratio': 0.30000000000000004}",0.5,0.5,0.0,32,True,0.0,concatenation
dinov2_vitg14,multi_axes,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6121407490131358,0.6140962798643572,0.3859037201356428,358,True,0.035592806111852816,concatenation
dinov2_vitl14,multi_axes,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5483483046389925,0.6017416659591575,0.39825833404084254,371,True,0.019848844712952854,concatenation
dinov2_vitl14,axis_Z,95,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5573168643412626,0.5715717026979927,0.20908234010604032,299,True,0.026864660837582356,concatenation
dinov2_vitl14,axis_Y,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5094241744739159,0.5824020112070105,0.41634725012009954,333,True,0.03873534831914616,concatenation
dinov2_vitb14,multi_axes,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5634117615669892,0.6035107554193838,0.3964892445806162,378,True,0.039555023952421664,concatenation
dinov2_vitb14,axis_Z,95,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5690957459226339,0.5614325032010867,0.05523529603877564,318,True,0.048132498763049356,concatenation
dinov2_vitb14,axis_Y,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.48885606487957517,0.5962119433483414,0.40259269959910216,342,True,0.03411073025455152,concatenation
dinov2_vitb14,axis_X,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6071116084076896,0.5702376710510315,0.42683791503753543,337,True,0.024748782018532398,concatenation
dinov2_vits14,multi_axes,95,logistic,"{'C': 0.01, 'l1_ratio': 0.6000000000000001}",0.569499107232473,0.5900401406292062,0.2958725948257751,364,True,0.044088554532207426,concatenation
dinov2_vits14,axis_Z,95,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.575088302037635,0.5551120408302097,0.20957865236567175,285,True,0.030732549320131804,concatenation
dinov2_vits14,axis_Y,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5042635128460696,0.5899934044386788,0.4027090511185255,317,True,0.05516400207860956,concatenation
dinov2_vits14,axis_X,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.613379665450794,0.6037381955013823,0.3818659257026489,308,True,0.041941752677784466,concatenation
dinov2_vitl14,multi_axes,256,logistic,"{'C': 0.01, 'l1_ratio': 1.0}",0.5119843241202711,0.5684107780186212,0.24215250496161755,256,True,0.010922887670872518,concatenation
dinov2_vitl14,axis_Z,256,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5557835740303827,0.5720994449025197,0.21015194234823031,256,True,0.027379071323643926,concatenation
dinov2_vitl14,axis_Y,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5092332077439782,0.579547481364188,0.4111952165380831,256,True,0.04071128488904762,concatenation
dinov2_vitg14,multi_axes,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6137437205322398,0.6089271175166617,0.39092186043740773,256,True,0.02842483515023295,concatenation
