model,preprocessing,feature_type,method,aggregation,pca_mode,config,full_config,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
eva02,v2,cls,25d,mean,256,v2_cls_25d_mean,v2_cls_25d_mean/PCA_256,logistic,"{'C': 1.0, 'l1_ratio': 0.2}",0.5900966885574567,0.5775637823434641,0.2593340322651779,256,False,0.02649144292304813,eva02
eva02,v2,cls,25d,mean,99,v2_cls_25d_mean,v2_cls_25d_mean/PCA_99,logistic,"{'C': 1.0, 'l1_ratio': 0.2}",0.5874290125544888,0.5774624756749256,0.2603269886284588,321,False,0.026635030566075118,eva02
eva02,v2,cls,25d,mean,32,v2_cls_25d_mean,v2_cls_25d_mean/PCA_32,logistic,"{'C': 1.0, 'l1_ratio': 0.1}",0.53925050685183,0.5672047312556636,0.159430765123303,32,False,0.022462941071798102,eva02
eva02,v2,cls,25d,mean,95,v2_cls_25d_mean,v2_cls_25d_mean/PCA_95,logistic,"{'C': 1.0, 'l1_ratio': 0.3}",0.58679564628333,0.5782644949358007,0.21661440004981247,94,False,0.025223134769149464,eva02
eva02,v1,cls,25d,mean,95,v1_cls_25d_mean,v1_cls_25d_mean/PCA_95,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5911373725684135,0.5766032894530986,0.2146028279240818,159,False,0.04738929694997211,eva02
eva02,v1,cls,25d,mean,99,v1_cls_25d_mean,v1_cls_25d_mean/PCA_99,logistic,"{'C': 1.0, 'l1_ratio': 0.5}",0.6050621518818076,0.5809136339016641,0.373105307080134,374,False,0.029466989117362417,eva02
eva02,v1,cls,25d,mean,32,v1_cls_25d_mean,v1_cls_25d_mean/PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5597062522472045,0.5652867929520019,0.14254104365352482,32,False,0.04637981391456582,eva02
eva02,v1,cls,25d,mean,256,v1_cls_25d_mean,v1_cls_25d_mean/PCA_256,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5926177761504735,0.5801807573421346,0.28899286964087934,256,False,0.04125715066642804,eva02
eva02,v1,spatial,25d,concat,32,v1_spatial_25d_concat,v1_spatial_25d_concat/PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 1.0}",0.6070752759535453,0.5378387040587165,0.17713915290064353,32,False,0.01423707097608745,eva02
eva02,v1,spatial,25d,concat,256,v1_spatial_25d_concat,v1_spatial_25d_concat/PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 1.0}",0.663003846293113,0.5850898150766934,0.4119009372700796,256,False,0.04298480920144438,eva02
eva02,v2,cls,2d,concat,95,v2_cls_2d_concat,v2_cls_2d_concat/PCA_95,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.606054272849068,0.615021139666043,0.3846477598328467,348,False,0.017216379189871796,eva02
eva02,v2,cls,2d,concat,256,v2_cls_2d_concat,v2_cls_2d_concat/PCA_256,logistic,"{'C': 0.01, 'l1_ratio': 0.7}",0.5727870335343271,0.6116437248383397,0.26432118321152875,256,False,0.052431507187032766,eva02
eva02,v2,cls,2d,concat,32,v2_cls_2d_concat,v2_cls_2d_concat/PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.8}",0.5735956718363489,0.5764322163394008,0.16733836807788727,32,False,0.019938908336765114,eva02
eva02,v2,cls,2d,concat,99,v2_cls_2d_concat,v2_cls_2d_concat/PCA_99,logistic,"{'C': 0.01, 'l1_ratio': 0.8}",0.5503665524165628,0.6168538512518437,0.2391615276881166,446,False,0.04842556092557574,eva02
eva02,v1,spatial,2d,concat,256,v1_spatial_2d_concat,v1_spatial_2d_concat/PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.9}",0.6813888899476425,0.6000239179999912,0.3995850236590123,256,False,0.03138793491744776,eva02
eva02,v1,spatial,2d,concat,32,v1_spatial_2d_concat,v1_spatial_2d_concat/PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 0.5}",0.6313388598684521,0.5584966603555024,0.1649165942837827,32,False,0.02160173367735321,eva02
eva02,v1,cls,25d,concat,99,v1_cls_25d_concat,v1_cls_25d_concat/PCA_99,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.6215515057699955,0.5867722913805361,0.3123671323420868,446,False,0.022131588330871248,eva02
eva02,v1,cls,25d,concat,32,v1_cls_25d_concat,v1_cls_25d_concat/PCA_32,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.614566743325723,0.5992026219181313,0.13906519525210526,32,False,0.03158374147592522,eva02
eva02,v1,cls,25d,concat,256,v1_cls_25d_concat,v1_cls_25d_concat/PCA_256,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.630393987766949,0.5699592468082578,0.23679020144881446,256,False,0.024943241502244248,eva02
eva02,v1,cls,25d,concat,95,v1_cls_25d_concat,v1_cls_25d_concat/PCA_95,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.6311245992352835,0.576641373555581,0.2372285594351563,349,False,0.02857643068199108,eva02
eva02,v1,cls,2d,mean,95,v1_cls_2d_mean,v1_cls_2d_mean/PCA_95,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5790154210641999,0.5909093428310584,0.25973352877897893,92,False,0.029497048615050207,eva02
eva02,v1,cls,2d,mean,256,v1_cls_2d_mean,v1_cls_2d_mean/PCA_256,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5817427333503581,0.6026269304225644,0.35168938876971856,256,False,0.025894453536245133,eva02
eva02,v1,cls,2d,mean,32,v1_cls_2d_mean,v1_cls_2d_mean/PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.550967300473644,0.5734792791727361,0.13831800404784533,32,False,0.03636226337674377,eva02
eva02,v1,cls,2d,mean,99,v1_cls_2d_mean,v1_cls_2d_mean/PCA_99,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5836115241573697,0.599586580719262,0.36297349947762314,323,False,0.027460565922936456,eva02
eva02,v2,spatial,25d,concat,32,v2_spatial_25d_concat,v2_spatial_25d_concat/PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 1.0}",0.5806239927282683,0.5518519731318904,0.17117899875062648,32,False,0.020284812858881507,eva02
eva02,v1,spatial,2d,mean,256,v1_spatial_2d_mean,v1_spatial_2d_mean/PCA_256,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.6663688683871837,0.6015704892090333,0.39842951079096667,256,False,0.03548804020049119,eva02
eva02,v1,spatial,2d,mean,95,v1_spatial_2d_mean,v1_spatial_2d_mean/PCA_95,logistic,"{'C': 0.001, 'l1_ratio': 0.3}",0.6508121937290445,0.5914740058894983,0.19619559371470496,353,False,0.0249648801845422,eva02
eva02,v1,spatial,2d,mean,99,v1_spatial_2d_mean,v1_spatial_2d_mean/PCA_99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6704281178812054,0.6072391564888528,0.39276084351114715,447,False,0.023463718673361274,eva02
eva02,v1,spatial,2d,mean,32,v1_spatial_2d_mean,v1_spatial_2d_mean/PCA_32,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.64832074660553,0.6330222319232395,0.13659854722830822,32,False,0.03999977831247349,eva02
eva02,v2,cls,2d,mean,95,v2_cls_2d_mean,v2_cls_2d_mean/PCA_95,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5959509661550345,0.5737329543118751,0.15826655840795822,95,False,0.026326227797606037,eva02
eva02,v2,cls,2d,mean,99,v2_cls_2d_mean,v2_cls_2d_mean/PCA_99,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5898987400090714,0.5781329252184879,0.30597706379833123,323,False,0.022305714091149387,eva02
eva02,v2,cls,2d,mean,32,v2_cls_2d_mean,v2_cls_2d_mean/PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5710774408929613,0.5697599967426067,0.12668445664112993,32,False,0.028613885480252392,eva02
eva02,v2,cls,2d,mean,256,v2_cls_2d_mean,v2_cls_2d_mean/PCA_256,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.587428621477368,0.577608860751208,0.2985355920839493,256,False,0.02403917123413857,eva02
eva02,v1,cls,2d,concat,256,v1_cls_2d_concat,v1_cls_2d_concat/PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6011847611896495,0.6231645153970249,0.3641785663451578,256,False,0.017554676134756704,eva02
eva02,v1,cls,2d,concat,95,v1_cls_2d_concat,v1_cls_2d_concat/PCA_95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6027911849072977,0.6278021246068576,0.37033800256498073,343,False,0.018091944525436613,eva02
eva02,v1,cls,2d,concat,99,v1_cls_2d_concat,v1_cls_2d_concat/PCA_99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6094272117733827,0.6293326577515505,0.3704863767673533,445,False,0.026026850531772568,eva02
eva02,v1,cls,2d,concat,32,v1_cls_2d_concat,v1_cls_2d_concat/PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5345408802244728,0.5898868625060917,0.16204973312802595,32,False,0.0590869365040549,eva02
