model,config_name,config,aggregation,mode,feature_approach,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,test_vs_cv_gap,fold_variance,problematic_folds_count,strategy
point_m2ae_encoder,C1A1,C1,A1,raw_features,C1A1,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6548702263181163,0.6002083110701018,0.2866255826186188,384,False,0.0433797930720016,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C1A2,C1,A2,raw_features,C1A2,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.6059986803430109,0.594928085988988,0.34424994228150196,1536,False,0.027226400541122724,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C1A3,C1,A3,raw_features,C1A3,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6547401782866994,0.5980335969066217,0.2935117041339965,576,False,0.04493056114834904,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C1A4,C1,A4,raw_features,C1A4,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6535210797317711,0.5992389959915386,0.28908565027970967,384,False,0.04370439841830574,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C1A5,C1,A5,raw_features,C1A5,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.6495476508215717,0.5789453632946147,0.3113951857908168,384,False,0.03018102736757317,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C2A1,C2,A1,raw_features,C2A1,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.5566525870962495,0.5646731710673933,0.16703584576127506,384,False,0.06126579665385602,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C2A2,C2,A2,raw_features,C2A2,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.5151220311489552,0.5688808438153024,0.17642172582105875,1536,False,0.036990104511412755,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C2A3,C2,A3,raw_features,C2A3,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.556448214560234,0.5645175868108485,0.16713504992909156,576,False,0.06133090472688272,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C2A4,C2,A4,raw_features,C2A4,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.5553320169320115,0.5618004570992328,0.17081570256022038,384,False,0.05968490510648868,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C2A5,C2,A5,raw_features,C2A5,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5498102839227839,0.549183515706664,0.18883029667072315,384,False,0.024126430001967996,0.0,0.0,0,point_m2ae_configurations
