model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5805152979066023,0.5525292088572382,0.029353838417662814,384,False,0.041986158014047724,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.5966183574879227,0.5147435184154892,0.18935289822965717,32,False,0.044567998266494865,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.533011272141707,0.5637309446978969,-0.0030506987440926947,384,False,0.11952500713720542,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5974235104669886,0.5470557471903861,0.1451979405566477,32,False,0.09662302582900903,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v1,C1,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5821256038647343,0.5730833426059864,0.4028211255118169,1536,False,0.050084431483211886,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v1,C1,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.36714975845410625,0.6408245243128964,0.00016325185770005302,32,False,0.0960658171890351,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v2,C1,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5700483091787439,0.5213719817514187,0.4785239897771648,1536,False,0.03925576574970866,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v2,C1,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.4774557165861513,0.5573517302770667,0.19405443849702797,32,False,0.022188612827983536,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.5909822866344605,0.5861433181261824,0.04587600010095949,1536,False,0.055747671073935155,point_m2ae_fip_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5563607085346216,0.6056414821408701,-0.0013954134271310092,32,False,0.07554214281042636,point_m2ae_fip_30_configurations
