model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6151030649011738,0.5866513803715777,0.3177612701698973,384,False,0.036451093980185825,point_m2ae_full_configurations
point_m2ae_encoder,C1A1v2,C1,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6012464203539878,0.5790401901852389,0.2630759493202911,384,False,0.028481681805448248,point_m2ae_full_configurations
point_m2ae_encoder,C1A1v3,C1,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5724914368006668,0.5564887661098579,0.24610881479122926,384,False,0.04291833077437364,point_m2ae_full_configurations
point_m2ae_encoder,C1A1v4,C1,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5646165371705105,0.5539785884481252,0.22524398779321575,384,False,0.044851402739929956,point_m2ae_full_configurations
point_m2ae_encoder,C1A2v1,C1,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.6205601093872485,0.5718126385317758,0.3539876413288413,1536,False,0.04497775651520697,point_m2ae_full_configurations
point_m2ae_encoder,C1A2v2,C1,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6016061854980823,0.5830031774259508,0.38391430620895406,1536,False,0.024665351406934766,point_m2ae_full_configurations
point_m2ae_encoder,C1A2v3,C1,A2,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5673906099723157,0.5350076427950661,0.4649923572049339,1536,False,0.01286497449514971,point_m2ae_full_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5444744376112485,0.5515638168474511,0.22503266520745357,1536,False,0.02700049823819566,point_m2ae_full_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6166984372161216,0.5859260441598104,0.3319089339074023,576,False,0.038132755373130975,point_m2ae_full_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6007945059262675,0.5798087406478006,0.2646509581521058,576,False,0.028391972528685236,point_m2ae_full_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5686022979135777,0.5539574154392921,0.32474840101878544,576,False,0.0431450675296063,point_m2ae_full_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5532573150876203,0.5527104762605111,0.1710962455954097,576,False,0.037015876160069,point_m2ae_full_configurations
point_m2ae_encoder,C1A4v1,C1,A4,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6167137051051406,0.5861258387474436,0.31778313472860087,384,False,0.037886415661059034,point_m2ae_full_configurations
point_m2ae_encoder,C1A4v2,C1,A4,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6013784138451941,0.5765364113959228,0.26587534123776757,384,False,0.028032199800568588,point_m2ae_full_configurations
point_m2ae_encoder,C1A4v3,C1,A4,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5724018563180275,0.5549701281785132,0.3355416086007985,384,False,0.04727651008842233,point_m2ae_full_configurations
point_m2ae_encoder,C1A4v4,C1,A4,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5667540753809289,0.5540397264991415,0.2258780095486037,384,False,0.046464568810887515,point_m2ae_full_configurations
point_m2ae_encoder,C1A5v1,C1,A5,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5506891612638469,0.5640696931501444,0.36740039495588506,384,False,0.021569522179670245,point_m2ae_full_configurations
point_m2ae_encoder,C1A5v2,C1,A5,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5933404906401945,0.5671605152585444,0.26776768675467355,384,False,0.006737517327271969,point_m2ae_full_configurations
point_m2ae_encoder,C1A5v3,C1,A5,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5478169221492105,0.5321356715049586,0.36838318561704875,384,False,0.03919846604094637,point_m2ae_full_configurations
point_m2ae_encoder,C1A5v4,C1,A5,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.5527540524324441,0.5376643642927567,0.01786408389319083,384,False,0.00952124325249053,point_m2ae_full_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5711323782952118,0.5744956350365031,0.3140712117535681,384,False,0.020008345205040648,point_m2ae_full_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.4}",0.5826161078194461,0.5529639935536645,0.4322371759835798,384,False,0.03740347156930637,point_m2ae_full_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.5377580275229359,0.5683088864460905,0.04428382752301985,384,False,0.029319304576504793,point_m2ae_full_configurations
point_m2ae_encoder,C2A1v4,C2,A1,v4,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5445563692606554,0.5374327716241836,0.2193738212605265,384,False,0.01842990585425993,point_m2ae_full_configurations
point_m2ae_encoder,C2A2v1,C2,A2,v1,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.6047729930319189,0.5582444572341465,0.4417555427658535,1536,False,0.018433082585201148,point_m2ae_full_configurations
point_m2ae_encoder,C2A2v2,C2,A2,v2,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5848174392444818,0.5325654017942807,0.4673642933089951,1536,False,0.022433908897453694,point_m2ae_full_configurations
point_m2ae_encoder,C2A2v3,C2,A2,v3,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.5,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.47368513817211266,0.5513555707406479,0.00048314935303084283,1536,False,0.04575354597365978,point_m2ae_full_configurations
point_m2ae_encoder,C2A2v4,C2,A2,v4,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.487812871622523,0.535320745601249,0.4551163851874225,1536,False,0.03890432608930623,point_m2ae_full_configurations
point_m2ae_encoder,C2A3v1,C2,A3,v1,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5753562970642456,0.5733875383826922,0.3724495684522189,576,False,0.02626125204711921,point_m2ae_full_configurations
point_m2ae_encoder,C2A3v2,C2,A3,v2,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.6}",0.5787334624006942,0.5571039366130238,0.4248047324113232,576,False,0.035551976428549965,point_m2ae_full_configurations
point_m2ae_encoder,C2A3v3,C2,A3,v3,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.7}",0.5379017056838553,0.5685026232373379,0.044081614032351,576,False,0.02922544838021543,point_m2ae_full_configurations
point_m2ae_encoder,C2A3v4,C2,A3,v4,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.547733853001376,0.5379121118251857,0.22730840149230047,576,False,0.020214634046947132,point_m2ae_full_configurations
point_m2ae_encoder,C2A4v1,C2,A4,v1,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.583962383860021,0.5741060381037384,0.38485749095488375,384,False,0.0189453577298042,point_m2ae_full_configurations
point_m2ae_encoder,C2A4v2,C2,A4,v2,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,2.0,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.6}",0.5823875083535661,0.5543438882915928,0.4215973769169459,384,False,0.03795918184804446,point_m2ae_full_configurations
point_m2ae_encoder,C2A4v3,C2,A4,v3,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.5279216895262162,0.5673564031658017,0.05875500012734791,384,False,0.029710504467986287,point_m2ae_full_configurations
point_m2ae_encoder,C2A4v4,C2,A4,v4,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",adaptive,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5419911514930331,0.535503858015683,0.22212653523266823,384,False,0.019070085909860764,point_m2ae_full_configurations
point_m2ae_encoder,C2A5v1,C2,A5,v1,"[256, 128, 32]","[16, 8, 8]","[0.32, 0.64, 1.28]",attention,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5945653124201964,0.5678072457337251,0.3411674983572601,384,False,0.02863581004207202,point_m2ae_full_configurations
