model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.7}",0.6368676580729753,0.607429082334153,0.3656412189480087,384,False,0.024246212670575976,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5888021577769477,0.5628282688528927,0.15977213675794344,32,False,0.03873913249779951,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v2,C1,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.25,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.9}",0.5552717076785473,0.6005102329198794,0.3543763754096171,384,False,0.03022305481901868,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v2,C1,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.25,PCA 32D,pca_features,logistic,"{'C': 1.0, 'l1_ratio': 0.9}",0.5474535718006477,0.5874353307061769,0.1517157368935621,32,False,0.02162356638611209,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v3,C1,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6151030649011738,0.5866513803715777,0.3177612701698973,384,False,0.036451093980185825,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v3,C1,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5759284170849802,0.5671969186098202,0.15263902145697295,32,False,0.039972179620732594,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v4,C1,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.75,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6048155986013019,0.6034841161729068,0.3060821023562651,384,False,0.03960367209153723,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v4,C1,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.75,PCA 32D,pca_features,logistic,"{'C': 1.0, 'l1_ratio': 0.3}",0.59306625823128,0.6028397710419345,0.14839388619408822,32,False,0.03445552673674585,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6012464203539878,0.5790401901852389,0.2630759493202911,384,False,0.028481681805448248,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5766190175920385,0.5982939987657067,0.1437320692063847,32,False,0.030946281412174113,point_m2ae_ofc_30_configurations
