model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,regressor,best_params,test_r2,cv_r2,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.06704618378994419,0.11121778672321193,-0.044171602933267724,384,True,0.05251467440594204,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v1,C1,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.010781371312752844,0.0509930819990331,-0.04021171068628026,32,True,0.04036915546305501,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v2,C1,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.05128300861589735,0.06568851326285195,-0.0144055046469546,384,True,0.04194508339048317,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v2,C1,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.00541154837321034,0.02550111228510792,-0.020089563911897576,32,True,0.03119613541314609,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v3,C1,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.07122764517004736,0.062316208074902735,0.008911437095144612,384,True,0.03607953412040828,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v3,C1,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.021515233759643187,0.02623733553180578,-0.004722101772162598,32,True,0.01861372843500598,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v4,C1,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.03538220584430877,0.05308483787071203,-0.017702632026403268,384,True,0.04360158799987186,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v4,C1,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.0010741351066094935,0.022893988410433126,-0.021819853303823633,32,True,0.02031776057897553,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.034860300400989384,0.0366411006789265,-0.0017808002779371144,384,True,0.034329142786302634,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A1v5,C1,A1,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.012385294973367822,0.00939398908560299,0.0029913058877648322,32,True,0.017332176660783332,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v1,C1,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.06676231380804404,0.12868357153771556,-0.061921257729671525,1536,True,0.06526841649283305,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v1,C1,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.040197560870605255,0.07103483878042521,-0.030837277909819955,32,True,0.04579785059538925,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v2,C1,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.06726696453554552,0.07328904378027461,-0.00602207924472909,1536,True,0.03617019542136721,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v2,C1,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.018935878368376846,0.04208777702017824,-0.023151898651801384,32,True,0.02113185552320926,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v3,C1,A2,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.060915905067078335,0.09426255244998426,-0.03334664738290593,1536,True,0.055367957461196556,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v3,C1,A2,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.028528478779912214,0.045295985411867364,-0.016767506631955153,32,True,0.023626726667557437,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.044843295267060636,0.05322844590335508,-0.008385150636294443,1536,True,0.03981216916442744,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.01653975977886039,0.02460284562698331,-0.008063085848122924,32,True,0.022060120326595958,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.0584075296653526,0.031005508715264418,0.027402020950088184,1536,True,0.03941065023914799,point_m2ae_sc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.019144135294496174,0.004459695383433183,0.014684439911062991,32,True,0.020605675479867178,point_m2ae_sc_30_configurations
