model,variant,config,aggregation_method,density_approach,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
sam_med3d_turbo,flatten_baseline,flatten_baseline,flatten,flatten_baseline,32,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.7345471116512873,0.6747039188228782,0.10801044169508223,32,False,0.03093555171678962,sam3d_density
sam_med3d_turbo,flatten_baseline,flatten_baseline,flatten,flatten_baseline,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.7674992857383345,0.6701381270953097,0.27639505567220657,256,False,0.03523970746431931,sam3d_density
sam_med3d_turbo,flatten_baseline,flatten_baseline,flatten,flatten_baseline,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.7695504812670485,0.6667020933417153,0.30589941879555005,377,False,0.032433298090379335,sam3d_density
sam_med3d_turbo,flatten_baseline,flatten_baseline,flatten,flatten_baseline,99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.7712183696030563,0.6662358232454513,0.31436599023159606,441,False,0.031621579987565256,sam3d_density
sam_med3d_turbo,flatten_masking,flatten_masking,flatten,flatten_masking,32,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.726552842181761,0.6764722980874203,0.12078765529373814,32,False,0.023082300381868284,sam3d_density
sam_med3d_turbo,flatten_masking,flatten_masking,flatten,flatten_masking,256,logistic,"{'C': 0.01, 'l1_ratio': 0.1}",0.7642515371514531,0.6715660921942445,0.24812453422974268,256,False,0.02991582142533947,sam3d_density
sam_med3d_turbo,flatten_masking,flatten_masking,flatten,flatten_masking,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.7710434171834444,0.6645922070560272,0.3080159036028902,378,False,0.031090432390325773,sam3d_density
sam_med3d_turbo,flatten_masking,flatten_masking,flatten,flatten_masking,99,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.7740594694500875,0.6685259178872972,0.3125137393073467,441,False,0.030897232976754428,sam3d_density
sam_med3d_turbo,flatten_linear_weighting,flatten_linear_weighting,flatten,flatten_linear_weighting,32,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.7272263960937073,0.6709107464926808,0.11685141730416837,32,False,0.028720767028718706,sam3d_density
sam_med3d_turbo,flatten_linear_weighting,flatten_linear_weighting,flatten,flatten_linear_weighting,256,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.7648464289775361,0.6692819718200909,0.265779245288134,256,False,0.04055353250058116,sam3d_density
sam_med3d_turbo,flatten_linear_weighting,flatten_linear_weighting,flatten,flatten_linear_weighting,95,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.7725023770342362,0.6677702530465013,0.29388967714986247,369,False,0.03845331717339133,sam3d_density
sam_med3d_turbo,flatten_linear_weighting,flatten_linear_weighting,flatten,flatten_linear_weighting,99,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.7722619797443492,0.6684695766498395,0.3005348756272461,438,False,0.03841341105518155,sam3d_density
